system:index,EVI,date,image_count,.geo
34,0.4938814477,2019-02,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.4692750748,2019-03,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.4661150803,2019-04,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.5174738928,2019-05,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.5564710077,2019-06,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.5541467098,2019-07,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.5147442522,2019-08,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.5894224045,2019-09,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.5186639449,2019-10,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.5284350573,2019-11,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.5202470458,2019-12,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.5046269601,2020-01,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.4433881538,2020-02,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.4220610865,2020-03,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.4404468859,2020-04,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.519903239,2020-05,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.5734921654,2020-06,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.6053702042,2020-07,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2.44E+08,2020-08,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.5259332757,2020-09,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.5499652929,2020-10,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.5338020526,2020-11,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.5230782923,2020-12,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.5343391146,2021-01,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.5245439154,2021-02,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.4986353716,2021-03,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.5123413579,2021-04,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.5490660907,2021-05,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.5611333321,2021-06,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.6064086965,2021-07,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.5261398655,2021-08,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.5543456473,2021-09,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.4985545594,2021-10,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.5364595112,2021-11,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.5263943599,2021-12,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.5208749243,2022-01,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.4994718264,2022-02,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.4845037552,2022-03,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.5195762062,2022-04,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.6055758723,2022-05,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.5948035903,2022-06,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.5428934285,2022-07,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.5933513944,2022-08,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.6478892032,2022-09,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.5782266448,2022-10,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.5271652255,2022-11,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.5418128253,2022-12,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.5073173436,2023-01,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0.4960224221,2023-02,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0.4905219697,2023-03,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0.5201013943,2023-04,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0.5920112037,2023-05,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0.6426872674,2023-06,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0.6636875697,2023-07,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0.6175574699,2023-08,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0.513794848,2023-09,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0.575818975,2023-10,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0.57809232,2023-11,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0.5626773214,2023-12,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0.5404046022,2024-01,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0.4860486669,2024-02,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,0.4285382883,2024-03,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.4459746142,2024-04,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0.4789469026,2024-05,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,0.6052092911,2024-06,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0.6406022887,2024-07,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0.6014760988,2024-08,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0.6132146966,2024-09,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,0.569349117,2024-10,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,0.5708408462,2024-11,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,0.4945954591,2024-12,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,0.5422014262,2025-01,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,0.4976801677,2025-02,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,0.4954082193,2025-03,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,0.5703549861,2025-04,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,0.5850138505,2025-05,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,0.654264618,2025-06,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,0.5550496073,2025-07,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,0.551052316,2025-08,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,0.5195547838,2025-09,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,0.5727705016,2025-10,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
